date,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,MW,MSP,THRTEMP,YRHRPRS,RRHRPRS,YRHRTEMPT,RRHRTEMPT,MWD2,A02P003G,A02P004G,PAB10CT101,PAB20CT101,PAB20CT102,NOM,MSPS,SELFP1,A017P005,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,TOTALCOAL,TAF,O2,FWFLOW,A09M210SHH,resolution
2016-04-01 00:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,80.0,80.0,0.164835,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7631259999999999,0.4578749999999999,0.335776,2.83883,821.8429,27.02566,603.7443000000001,8.418040000000001,2.4671899999999996,600.7635999999999,601.0402,823.2443000000001,65956.23,7509.13,14.51687,14.439770000000001,15.542399999999997,5.0,26.88539,0.0,130.58899999999997,6.02564,3.5714300000000003,5.07326,2.6923085,73.69352,3.150185,15.109877000000001,97.00244,798.6508,293.8096,3031.061,3.250319,2109.3779999999997,2846.3669999999997,0
2016-04-01 00:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,76.8,76.8,0.17094000000000004,0.091576,0.091576,0.091576,0.946277,2.4664249999999996,0.18315000000000003,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,867.8385000000001,28.01893,601.5585,8.418040000000001,2.4671899999999996,601.6975,603.9108,867.7764,65967.67,7509.13,14.5143,14.4372,15.542399999999997,5.0,28.181180000000005,0.0,130.58899999999997,0.39377300000000004,1.7399299999999998,0.289988,0.66544636,67.64957,2.5702099999999994,1.5811968000000003,68.50426999999999,855.5505999999999,308.7111,3207.54,3.2147419999999998,2256.3250000000003,2805.693,0
2016-04-01 00:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.164835,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7692309999999998,0.4578749999999999,0.335776,2.83883,900.9007000000001,28.970079999999996,600.0773999999999,8.919414999999997,2.4671899999999996,602.9033999999999,606.143,900.8309000000002,65979.01,7509.13,14.5143,14.4372,15.542399999999997,5.0,29.37665,0.0,130.58899999999997,0.0,1.67888,0.0,0.0,18.644678399999997,2.46032,0.47008600000000006,19.5024326,889.6438,319.64540000000005,3315.1459999999997,3.485579,2360.746,2776.4670000000006,0
2016-04-01 00:30:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.17094000000000004,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.213675,0.4578749999999999,0.7692309999999998,0.4578749999999999,0.335776,2.83883,911.693,29.31014,596.2592999999999,9.420789999999998,2.4671899999999996,601.1577,605.6818999999999,912.1589000000001,65990.38999999998,7509.13,14.5143,14.4372,15.542399999999997,5.0,29.77083,0.0,128.9818,0.0,1.6605649999999996,0.0,0.0427356,0.8608058,2.4236900000000006,0.18925520000000004,0.0,904.7674999999999,323.75660000000005,3290.3,3.433014,2398.2650000000003,2767.7670000000007,1
2016-04-01 00:40:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.152625,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.20757000000000003,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,913.4916999999999,29.76555,599.2103,9.420789999999998,2.4671899999999996,600.5224999999998,606.0232,913.7033000000001,66001.78,7509.13,14.5143,14.434630000000002,15.542399999999997,5.0,29.942020000000003,0.0,128.57999999999998,0.0,1.61783,0.0,0.030525599999999993,1.0012212999999999,2.4236900000000006,0.6837612,2.1825397000000004,906.2239,320.58549999999997,3278.7169999999996,3.2249989999999995,2382.4369999999994,2779.234,1
2016-04-01 00:50:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.164835,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7692309999999999,0.4578749999999999,0.335776,2.83883,914.3481000000002,29.88827,603.103,9.420789999999998,2.4671899999999996,601.1752,606.5461,913.9390000000001,66013.11,7509.13,14.5143,14.42692,15.542399999999997,5.0,29.868000000000002,0.0,128.57999999999998,0.13125799999999999,1.6300399999999997,0.45482320000000004,0.01831506,14.670314000000001,2.48474,19.700856,41.91087,905.1022,320.98300000000006,3271.6590000000006,3.1554480000000003,2368.274,2795.173,1
2016-04-01 01:00:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.15873,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.20146500000000006,0.4578749999999999,0.7753359999999999,0.4578749999999999,0.335776,2.83883,909.2091,29.909639999999996,602.4833999999998,9.420789999999998,2.4671899999999996,601.5946000000001,606.5339999999999,908.9053,66024.45,7509.13,14.529719999999998,14.447480000000002,15.542399999999997,5.0,29.841079999999998,0.0,128.57999999999998,2.8022,3.315022,2.539683,1.9688649999999999,44.06595,4.896209000000001,38.92553,92.17348999999999,896.7906999999999,318.0865,3245.6799999999994,3.189101,2331.3200000000006,2811.559,1
2016-04-01 01:10:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.164835,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.213675,0.4578749999999999,0.7631259999999999,0.48229539999999993,0.335776,2.83883,907.1536000000002,30.034790000000005,602.7583000000001,9.420789999999998,2.4671899999999996,602.7166,606.8579000000002,906.4046000000001,66035.79000000001,7509.13,14.52458,14.447479999999999,15.542399999999997,5.0,29.77353,0.0,128.57999999999998,20.012189999999997,16.794859999999996,19.273490000000002,16.0073,80.83637999999999,33.31503,46.66667,98.75462999999999,892.8013000000001,314.2097,3236.581,3.1596149999999996,2293.614,2834.061,1
2016-04-01 01:20:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.152625,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.213675,0.4578749999999999,0.7631259999999999,0.46398009999999995,0.335776,2.83883,899.9583999999999,29.832119999999993,601.0802000000001,9.420789999999998,2.4671899999999996,601.7692999999998,606.4284000000001,899.9362000000001,66047.26,7509.13,14.5143,14.42692,15.542399999999997,5.0,29.503539999999997,0.0,128.57999999999998,41.73383,35.030539999999995,41.19049,34.1331,78.98658,39.5055,41.67887,99.02945,878.0637,312.0738,3186.035,3.2753209999999995,2250.0950000000003,2853.6690000000003,0
2016-04-01 01:30:00,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,90.0,90.0,90.0,90.0,100.0,100.0,72.0,72.0,0.164835,0.091576,0.091576,0.091576,0.946277,2.4725299999999995,0.19536000000000003,0.4578749999999999,0.7631259999999999,0.4578749999999999,0.335776,2.83883,889.3375,29.45789,601.3533,9.420789999999998,2.4671899999999996,600.6743999999999,604.9561999999999,889.9323,66058.67,7509.13,14.5143,14.421780000000002,15.542399999999997,5.0,29.31601,0.0,128.57999999999998,50.073249999999994,42.92432000000001,49.71917,42.216139999999996,51.15384999999999,16.593414,33.22957,86.20270000000001,865.6197,304.9281,3165.365,3.2945530000000005,2216.867,2858.964,0
